question,answer,predicted,correct,latency_ms,response
"A 28-year-old woman is brought to the emergency department by a friend after fainting at work and hitting her head. She is conscious, alert, and in pain as she sustained a deep laceration above her right orbit. When asked about prior fainting episodes, she says that she has had them since childhood, but she felt it was ""nothing serious"". She also says she has frequent palpitations, shortness of breath, nausea, and, at times, chest pain and attributes this to ""working too hard."" Her pulse is 110/min, respirations are 20/min, temperature is 37.4°C (99.3°F), and blood pressure is 110/78 mm Hg. Physical examination shows tachycardia and mild hypotension. The patient's electrocardiogram is obtained. Which of the following drugs is the preferable choice for first line treatment of the patient's condition?",C,A,False,17642.7,"Based on the information provided, it is not clear if the patient's symptoms are related to a cardiac condition that would require the use of calcium gluconate, flecainide, magnesium sulfate, or procainamide. The patient's symptoms of fainting, palpitations, shortness of breath, nausea, and chest pain are non-specific and could be due to various causes, including orthostatic hypotension,"
A 2-year-old male is brought to your office by his mother for evaluation. The patient develops a skin presentation similar to Image A on his cheeks and chin when exposed to certain food products. This patient is most likely predisposed to develop which of the following?,C,A,False,11385.7,"Based on the provided context, the most likely answer is:

A) Food allergies. The description of the skin presentation being similar to Image A and appearing only when the patient is exposed to certain food products is consistent with a food allergy. Food allergies typically cause skin reactions such as hives, eczema, or angioedema."
"A 20-year-old girl presents to a physician following unprotected coitus with her boyfriend about 10 hours ago. She tells the doctor that although they usually use a barrier method of contraception, this time they forgot. She does not want to become pregnant. She also mentions that she has major depression and does not want to take an estrogen-containing pill. After necessary counseling, the physician prescribes an enteric-coated pill containing 1.5 mg of levonorgestrel. Which of the following is the primary mechanism of action of this drug?",C,A,False,14678.4,"A: The primary mechanism of action of levonorgestrel in an emergency contraceptive pill is to prevent ovulation or inhibit fertilization by thickening the cervical mucus and thinning the endometrial lining, but its main effect is to prevent or delay ovulation. In this case, since the patient does not want to take an estrogen-containing pill, the use of a progestin-only pill like levonorgestrel"
"An investigator is studying the principles of cell-to-cell signaling of the autonomic nervous system. It is found that the adrenal medulla has receptors that, when activated, result in the immediate opening of Na+, Ca2+, and K+ channels, which subsequently leads to the secretion of epinephrine and norepinephrine. These receptors are structurally most similar to which of the following receptors?",D,A,False,15007.1,"The correct answer is A) muscarinic acetylcholine receptors (M1 and M3). These receptors also have a direct effect on ion channels, leading to the rapid opening of Na+, Ca2+, and K+ channels upon activation. However, it's important to note that adrenal medulla receptors are nicotinic acetylcholine receptors, not muscarinic. The question may have"
"An 15-year-old boy is brought to the emergency department after he passed out in the hallway. On presentation, he is alert but confused about why he is in the hospital. He says that he remembers seeing flashes of light to his right while walking out of class but cannot recall what happened next. His next memory is being woken up by emergency responders who wheeled him into an ambulance. A friend who was with him at the time says that he seemed to be swallowing repeatedly and staring out into space. He has never had an episode like this before, and his past medical history is unremarkable. Which of the following characteristics is most likely true of the cause of this patient's symptoms?",D,A,False,15997.7,"Based on the provided information, the symptoms described in the question are most consistent with a seizure. However, the description does not provide enough information to definitively diagnose a specific type of seizure. Therefore, it is not possible to answer the question with certainty using the given options.

However, if we are to make an educated guess based on the information provided, option C (Isolated to the left occipital lobe) is less likely as the description mentions"
"A 42-year-old man presents with palpitations, 2 episodes of vomiting, and difficulty breathing for the past hour. He says he consumed multiple shots of vodka at a party 3 hours ago but denies any recent drug use. The patient denies any similar symptoms in the past. Past medical history is significant for type 2 diabetes mellitus diagnosed 2 months ago, managed with a single drug that has precipitated some hypoglycemic episodes, and hypothyroidism diagnosed 2 years ago, well-controlled medically. The patient is a software engineer by profession. He reports a 25-pack-year smoking history and currently smokes 1 pack a day. He drinks alcohol occasionally but denies any drug use. His blood pressure is 100/60 mm Hg, pulse is 110/min, and respiratory rate is 25/min. On physical examination, the patient appears flushed and diaphoretic. An ECG shows sinus tachycardia. Which of the following medications is this patient most likely taking to explain his symptoms? ",A,A,True,16831.7,"A) Tolbutamide: The patient's symptoms of palpitations, tachycardia, and hypoglycemia are consistent with an adverse reaction to sulfonylurea medications like tolbutamide, which is used to manage type 2 diabetes mellitus."
"A 23-year-old woman presents to the emergency department complaining of nausea, vomiting, and abdominal pain. She has a 10-year history of type I diabetes mellitus treated with lispro and glargine. Upon questioning, she mentions that she stopped taking her insulin 3 days ago due to recent malaise and decreased appetite. She denies recent weight change, illicit drug use, or sexual activity. She does not take any other medications and she does not use tobacco products or alcohol. Upon physical examination she is afebrile. Her blood pressure is 105/70 mm Hg, pulse is 108/min and respiratory rate is 25/min. She appears lethargic, with clear breath sounds bilateral and a soft, nontender and nondistended abdomen. Laboratory results are as follows:
Sodium 130 mEq/L
Potassium 5.6 mEq/L
Chloride 91 mEq/L
Bicarbonate 12 mEq/L
Glucose 450 mg/dL
Which of the following is most likely to be found in this patient?",C,C,True,20182.0,"C) Total body potassium depletion

The patient's history of stopping insulin for several days and the presence of hyperglycemia indicate that she is likely experiencing diabetic ketoacidosis. This condition can lead to total body potassium depletion due to the shift of potassium ions from the intracellular to the extracellular space as a result of insulin deficiency and the metabolism of fat for energy, leading"
"A 70-year-old woman is brought to the emergency department 1 hour after being found unconscious in her apartment by her neighbor. No medical history is currently available. Her temperature is 37.2°C (99.0°F), pulse is 120/min, respirations are 18/min, and blood pressure is 70/50 mm Hg. Laboratory studies show a glomerular filtration rate of 70 mL/min/1.73 m2 (N > 90) and an increased filtration fraction. Which of the following is the most likely cause of this patient's findings?",B,B,True,15525.1,"Based on the given information, the most likely cause of the patient's findings is:

B) Profuse diarrhea

The increased filtration fraction in the absence of a low glomerular filtration rate suggests a condition that increases the hydrostatic pressure in the glomerular capillaries, such as diarrhea, which can lead to a decrease in effective circulating blood volume and a compensatory increase in the filtration fraction to maintain re"
"A 33-year-old man with HIV comes to the physician because of a nonproductive cough and shortness of breath for 3 weeks. He feels tired after walking up a flight of stairs and after long conversations on the phone. He appears chronically ill. His temperature is 38.5°C (101.3°F), and pulse is 110/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Upon walking, his oxygen saturation decreases to 85%. Cardiopulmonary examination is normal. Laboratory studies show a CD4+ T-lymphocyte count of 176/mm3 (N > 500). Results of urine Legionella antigen testing are negative. A CT scan of the chest shows diffuse, bilateral ground-glass opacities. Microscopic examination of fluid obtained from bronchoalveolar lavage will most likely show which of the following findings?",A,A,True,15218.6,"A) Silver-staining, disc-shaped cysts (Nocardia or Aspergillus species are common causes of such findings in HIV patients with CD4+ counts below 200/mm3)"
"A 52-year-old woman presents to a local hospital complaining about a rash on her face and torso, as well as night sweats, low-grade fever, diarrhea, and unintentional weight loss. Her personal history is relevant for homelessness; she also has a history of risky behaviors such as the use and abuse of intravenous drugs, and unprotected intercourse with multiple sexual partners. Upon physical examination, well-demarcated violaceous plaques and papules distributed on her face and back are visible (see image below). Additional findings include fine reticular and interstitial changes on a chest radiograph, a CD4+ count of 50 cells/mm3, and a positive RPR for HIV. Which of the following is the most likely etiology of this patient’s dermatological condition?",B,A,False,16362.5,"A) The patient's symptoms and physical findings are consistent with Kaposi Sarcoma, which is caused by HHV-8, but the positive RPR test indicates HIV infection. The violaceous plaques and papules on her face and back are characteristic of Kaposi Sarcoma associated with HIV infection (AIDS-related Kaposi Sarcoma), which is caused by HHV-8 infection of CD4+ T-cells in the presence of a"
