question,answer,predicted,correct,latency_ms,response
"A 28-year-old woman is brought to the emergency department by a friend after fainting at work and hitting her head. She is conscious, alert, and in pain as she sustained a deep laceration above her right orbit. When asked about prior fainting episodes, she says that she has had them since childhood, but she felt it was ""nothing serious"". She also says she has frequent palpitations, shortness of breath, nausea, and, at times, chest pain and attributes this to ""working too hard."" Her pulse is 110/min, respirations are 20/min, temperature is 37.4°C (99.3°F), and blood pressure is 110/78 mm Hg. Physical examination shows tachycardia and mild hypotension. The patient's electrocardiogram is obtained. Which of the following drugs is the preferable choice for first line treatment of the patient's condition?",C,A,False,21764.0,"A) Calcium gluconate: The patient's symptoms suggest possible hypokalemia or hypocalcemia, which can cause cardiac arrhythmias. Calcium gluconate is used to correct hypocalcemia. However, it's important to note that the ECG should be evaluated before administering calcium to ensure it's not indicative of a more serious arrhythmia, such as ventricular fibrillation or"
A 2-year-old male is brought to your office by his mother for evaluation. The patient develops a skin presentation similar to Image A on his cheeks and chin when exposed to certain food products. This patient is most likely predisposed to develop which of the following?,C,A,False,13951.4,"A) Allergic contact dermatitis to food products, specifically those that contain nuts or other common allergens, is the most likely diagnosis for this patient based on the description of symptoms. The skin presentation on the cheeks and chin that develops upon exposure to these food products is indicative of an allergic reaction."
"A 20-year-old girl presents to a physician following unprotected coitus with her boyfriend about 10 hours ago. She tells the doctor that although they usually use a barrier method of contraception, this time they forgot. She does not want to become pregnant. She also mentions that she has major depression and does not want to take an estrogen-containing pill. After necessary counseling, the physician prescribes an enteric-coated pill containing 1.5 mg of levonorgestrel. Which of the following is the primary mechanism of action of this drug?",C,A,False,18300.3,"A: The primary mechanism of action of levonorgestrel in an emergency contraceptive pill is to prevent ovulation or inhibit fertilization by thickening the cervical mucus and thinning the endometrial lining, but in this case, the patient does not want to take an estrogen-containing pill, so levonorgestrol is used instead, which primarily works by inhibiting implantation by altering the endometrial lining"
"An investigator is studying the principles of cell-to-cell signaling of the autonomic nervous system. It is found that the adrenal medulla has receptors that, when activated, result in the immediate opening of Na+, Ca2+, and K+ channels, which subsequently leads to the secretion of epinephrine and norepinephrine. These receptors are structurally most similar to which of the following receptors?",D,A,False,18176.3,"The correct answer is A) muscarinic acetylcholine receptors (M1 and M3). The justification is that both the adrenal medulla receptors and muscarinic acetylcholine receptors are ligand-gated ion channels that open when activated, leading to the release of neurotransmitters. However, it's important to note that the specific ion channels opened and the neurotransmitters secreted differ"
"An 15-year-old boy is brought to the emergency department after he passed out in the hallway. On presentation, he is alert but confused about why he is in the hospital. He says that he remembers seeing flashes of light to his right while walking out of class but cannot recall what happened next. His next memory is being woken up by emergency responders who wheeled him into an ambulance. A friend who was with him at the time says that he seemed to be swallowing repeatedly and staring out into space. He has never had an episode like this before, and his past medical history is unremarkable. Which of the following characteristics is most likely true of the cause of this patient's symptoms?",D,A,False,18716.9,"Based on the information provided, the most likely diagnosis for the patient's symptoms is a seizure, specifically a complex partial seizure. The patient's description of seeing flashes of light and being confused about the events leading up to the episode, along with the witness report of staring and swallowing repeatedly, are consistent with this diagnosis. Complex partial seizures are characterized by a focal onset, often with motor or sensory symptoms, followed by a period of confusion or altered consciousness."
"A 42-year-old man presents with palpitations, 2 episodes of vomiting, and difficulty breathing for the past hour. He says he consumed multiple shots of vodka at a party 3 hours ago but denies any recent drug use. The patient denies any similar symptoms in the past. Past medical history is significant for type 2 diabetes mellitus diagnosed 2 months ago, managed with a single drug that has precipitated some hypoglycemic episodes, and hypothyroidism diagnosed 2 years ago, well-controlled medically. The patient is a software engineer by profession. He reports a 25-pack-year smoking history and currently smokes 1 pack a day. He drinks alcohol occasionally but denies any drug use. His blood pressure is 100/60 mm Hg, pulse is 110/min, and respiratory rate is 25/min. On physical examination, the patient appears flushed and diaphoretic. An ECG shows sinus tachycardia. Which of the following medications is this patient most likely taking to explain his symptoms? ",A,C,False,24154.7,"Hg, pulse is 110/min, respiratory rate is 22/min, and temperature is 36.5°C (97.7°F). On physical examination, the patient is diaphoretic and has a regular, tachycardic rhythm. Cardiac exam reveals no murmurs or gallops. The chest radiograph is normal. An electrocardiogram (ECG) shows atrial fibrillation with a"
"A 23-year-old woman presents to the emergency department complaining of nausea, vomiting, and abdominal pain. She has a 10-year history of type I diabetes mellitus treated with lispro and glargine. Upon questioning, she mentions that she stopped taking her insulin 3 days ago due to recent malaise and decreased appetite. She denies recent weight change, illicit drug use, or sexual activity. She does not take any other medications and she does not use tobacco products or alcohol. Upon physical examination she is afebrile. Her blood pressure is 105/70 mm Hg, pulse is 108/min and respiratory rate is 25/min. She appears lethargic, with clear breath sounds bilateral and a soft, nontender and nondistended abdomen. Laboratory results are as follows:
Sodium 130 mEq/L
Potassium 5.6 mEq/L
Chloride 91 mEq/L
Bicarbonate 12 mEq/L
Glucose 450 mg/dL
Which of the following is most likely to be found in this patient?",C,A,False,24213.7,"in this patient?
A) Hyperkalemia
B) Hypokalemia
C) Hypernatremia
D) Hyponatremia
Answer: B) Hypokalemia

Explanation:
The patient is a 23-year-old woman with a 10-year history of type I diabetes mellitus who has stopped taking her insulin for the past 3 days due to malaise"
"A 70-year-old woman is brought to the emergency department 1 hour after being found unconscious in her apartment by her neighbor. No medical history is currently available. Her temperature is 37.2°C (99.0°F), pulse is 120/min, respirations are 18/min, and blood pressure is 70/50 mm Hg. Laboratory studies show a glomerular filtration rate of 70 mL/min/1.73 m2 (N > 90) and an increased filtration fraction. Which of the following is the most likely cause of this patient's findings?",B,C,False,18583.5,"Based on the given information, the most likely cause of this patient's findings is:

C) Salicylate poisoning

Justification: The increased filtration fraction in the absence of a low glomerular filtration rate suggests a condition that increases the hydrostatic pressure in the glomerular capillaries, such as salicylate poisoning. This can lead to a decrease in effective arterial blood volume and subsequent decreased systemic vascular resistance,"
"A 33-year-old man with HIV comes to the physician because of a nonproductive cough and shortness of breath for 3 weeks. He feels tired after walking up a flight of stairs and after long conversations on the phone. He appears chronically ill. His temperature is 38.5°C (101.3°F), and pulse is 110/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Upon walking, his oxygen saturation decreases to 85%. Cardiopulmonary examination is normal. Laboratory studies show a CD4+ T-lymphocyte count of 176/mm3 (N > 500). Results of urine Legionella antigen testing are negative. A CT scan of the chest shows diffuse, bilateral ground-glass opacities. Microscopic examination of fluid obtained from bronchoalveolar lavage will most likely show which of the following findings?",A,A,True,24202.1,"most likely reveal which of the following?
A) Acid-fast bacilli
B) Neutrophils
C) Lymphocytes
D) Yeast cells
Answer: C) Lymphocytes.

The patient's symptoms and laboratory findings are consistent with HIV-associated pulmonary disease, likely due to opportunistic infections such as Pneumocystis jirovecii pneumonia or Kaposi"
"A 52-year-old woman presents to a local hospital complaining about a rash on her face and torso, as well as night sweats, low-grade fever, diarrhea, and unintentional weight loss. Her personal history is relevant for homelessness; she also has a history of risky behaviors such as the use and abuse of intravenous drugs, and unprotected intercourse with multiple sexual partners. Upon physical examination, well-demarcated violaceous plaques and papules distributed on her face and back are visible (see image below). Additional findings include fine reticular and interstitial changes on a chest radiograph, a CD4+ count of 50 cells/mm3, and a positive RPR for HIV. Which of the following is the most likely etiology of this patient’s dermatological condition?",B,A,False,16138.4,"A) The patient's symptoms and physical examination findings are consistent with Kaposi Sarcoma, which is caused by HHV-8, but the positive RPR test indicates HIV infection. The most likely etiology of the patient's dermatological condition is Kaposi Sarcoma due to HIV infection."
"A 47-year-old man comes to the physician because of abdominal pain and foul-smelling, watery diarrhea for several days. He has not had nausea, vomiting, or blood in the stool. He has a history of alcohol use disorder and recently completed a 7-day course of clindamycin for pneumonia. He has not traveled out of the United States. Which of the following toxins is most likely to be involved in the pathogenesis of this patient's symptoms?",D,D,True,17165.1,D) Clostridioides difficile cytotoxin. The patient's history of recent antibiotic use and diarrhea without other symptoms (such as fever or blood in the stool) is consistent with Clostridioides difficile infection. This bacterium produces a cytotoxin that can cause diarrhea and colitis.
"An 8-year-old girl is brought to the physician by her parents for a 10-month history of disturbing dreams and daytime sleepiness. She has difficulty falling asleep and says she sometimes sees ghosts just before falling asleep at night. She has had a 7-kg (15-lb) weight gain during this period despite no changes in appetite. She is alert and oriented, and neurologic examination is unremarkable. During physical examination, she spontaneously collapses after the physician drops a heavy book, producing a loud noise. She remains conscious after the collapse. Polysomnography with electroencephalogram is most likely to show which of the following?",C,A,False,19150.3,"A) This patient's symptoms suggest parasomnia, specifically night terrors or sleepwalking, which can be associated with a collapse during sleep. Polysomnography with EEG may reveal abnormalities such as increased theta and delta activity during non-REM sleep, but no definitive answer can be given without the actual test results. However, it is unlikely that this test would show periodic sharp waves, slow spike-wave pattern, or rapid onset of"
"A 15-year-old boy is brought to the physician by his mother because of 4 months of strange behavior. She says that during this period, he has had episodic mood swings. She has sometimes found him in his room “seemingly drunk” and with slurred speech. These episodes usually last for approximately 15 minutes, after which he becomes irritable. He has had decreased appetite, and his eyes occasionally appear red. He has trouble keeping up with his schoolwork, and his grades have worsened. Physical examination shows an eczematous rash between the upper lip and nostrils. Neurologic examination shows a delay in performing alternating palm movements. Use of which of the following is the most likely cause of this patient's condition?",A,A,True,16837.1,"A) Inhalants: The patient's symptoms of episodic mood swings, slurred speech, irritability, decreased appetite, and red eyes are consistent with inhalant abuse. The eczematous rash between the upper lip and nostrils is also a common finding in individuals who use inhalants."
"In a recently conducted case-control study that aimed to elucidate the causes of myelomeningocele (a neural tube defect in which there is an incomplete formation of the spinal bones), 200 mothers of infants born with the disease and 200 mothers of infants born without the disease were included in the study. Among the mothers of infants with myelomeningocele, 50% reported having experienced pharyngitis (sore throat) during pregnancy, compared with 5% of the mothers whose infants did not develop the condition. The researchers concluded that there is an association between pharyngitis during pregnancy and myelomeningocele; this conclusion was backed up by statistical analysis of the obtained results. Which type of bias may hamper the validity of the researchers’ conclusions?",B,B,True,18111.4,"The correct answer is B) Recall bias. Recall bias occurs when the accuracy of the data collected is influenced by the ability of the subjects to remember past events or information. In this case, the mothers of infants with myelomeningocele may be more likely to remember having had pharyngitis during pregnancy due to the significant health issues with their child, leading to an overestimation of the true association between the two conditions."
"A 28-year-old man presents with a 3-day history of cough and fever. He says that he recently became a factory worker in a huge plant that is involved in the polyvinyl chloride (PVC) polymerization process. Because he has heard about occupational diseases specifically related to this particular industry, he asks the physician whether his new job is associated with any serious conditions. His physician mentions that polyvinyl chloride is a known chemical carcinogen and that workers who have been exposed to it are known to be at increased risk of developing a particular type of cancer. Which of the following cancers is the physician most likely talking about?",C,A,False,12074.4,"A) Liver cancer (Hepatic angiosarcoma is a different type of liver cancer, but both liver cancers are associated with PVC exposure)"
"A 45-year-old woman presents with severe, acute-onset colicky abdominal pain and nausea. She also describes bone pain, constipation, headache, decreased vision, and menstrual irregularity. Past medical history is significant for surgical removal of an insulinoma one year ago. Two months ago, she was prescribed fluoxetine for depression but hasn’t found it very helpful. Family history is significant for a rare genetic syndrome. Non-contrast CT, CBC, CMP, and urinalysis are ordered in the diagnostic work-up. Urine sediment is significant for the findings shown in the picture. Which of the following will also be a likely significant finding in the diagnostic workup?",C,A,False,21090.7,"Based on the given symptoms and the significant findings of bone pain, constipation, headache, decreased vision, and menstrual irregularity, it is likely that the patient has a recurrence of a paraneoplastic syndrome related to her insulinoma. Therefore, the likely significant finding in the diagnostic workup would be:

D) Hypokalemia and non-anion gap acidosis.

Justification: Paraneoplastic syndrom"
"A 66-year-old woman is brought to the emergency department 4 hours after falling and hitting her head while skiing. Initially, she refused treatment, but an hour ago she began to develop a severe headache, nausea, and right leg weakness. She has osteopenia. Her only medication is a daily multivitamin. She has no visual changes and is oriented to person, time, and place. Her temperature is 37.2°C (99°F), pulse is 72/min, respirations are 18/min and regular, and blood pressure is 128/75 mm Hg. Examination shows a 5-cm bruise on the left side of her skull. The pupils are equal, round, and reactive to light and accommodation. Muscle strength is 0/5 in her right knee and foot. Which of the following is the most likely cause of this patient's symptoms?",C,A,False,21494.5,"Based on the information provided, the most likely cause of this patient's symptoms is subfalcine herniation. This type of herniation occurs when brain tissue herniates through an enlarged falx cerebri, which can cause symptoms such as headache, nausea, and focal neurologic deficits, including weakness. The presence of a skull bruise and focal neurologic deficits in this case support this diagnosis."
"A previously healthy 5-year-old boy is brought to the emergency department because of fever, irritability, malaise, and left knee pain for 4 days. Four days ago, he fell off his bike and scraped his elbow. His temperature is 39.1°C (102.4°F). The patient walks with a limp. Examination shows swelling and point tenderness over the medial aspect of the left knee. An MRI of the left knee shows edema of the bone marrow and destruction of the medial metaphysis of the tibia. Which of the following is the most likely causal organism?",B,A,False,19055.1,"Based on the information provided, it is not possible to determine the most likely causal organism as no laboratory results or other diagnostic tests have been mentioned in the question. The given symptoms and imaging findings are consistent with osteomyelitis, which can be caused by various bacterial infections, including Staphylococcus aureus, Pseudomonas aeruginosa, and other organisms. Therefore, none of the options A, B, C, or D"
"A 72-year-old man with chronic lymphocytic leukemia (CLL) comes to the physician with a 2-day history of severe fatigue and dyspnea. He regularly visits his primary care physician and has not required any treatment for his underlying disease. His temperature is 36.7°C (98.1°F), pulse is 105/min, respiratory rate is 22/min, and blood pressure is 125/70 mm Hg. The conjunctivae are pale. Examination of the heart and lungs shows no abnormalities. The spleen is palpable 3 cm below the costal margin. No lymphadenopathy is palpated. Laboratory studies show:
Hemoglobin 7 g/dL
Mean corpuscular volume 105 μm3
Leukocyte count 80,000/mm3
Platelet count 350,000/mm3
Serum  
Bilirubin Total // Direct 6 mg/dL / 0.8 mg/dL
Lactate dehydrogenase 650 U/L (Normal: 45–90 U/L)
Based on these findings, this patient’s recent condition is most likely attributable to which of the following?",A,C,False,24181.1,"failure
C) Infection
D) Thrombosis
Answer: C) Infection

Explanation:

The patient's symptoms of severe fatigue and dyspnea, along with a high pulse rate and respiratory rate, suggest an infection. The laboratory findings of anemia (low hemoglobin level), an increased mean corpuscular volume (MCV), and a high lactate dehydrogenase (LDH"
"A 22-year-old man volunteers for a research study on lung function. He has no history of lung disease or allergies and does not smoke. His pulmonary blood flow is measured in the various labeled segments of the lungs while standing. Then the volunteer, still standing, is given very low continuous positive airway pressure and the blood flow measured again. Which of the following sets of findings are most likely to be present in the second measurements relative to the first?",A,A,True,15602.2,"A) Reduced blood flow in zone 1: The application of continuous positive airway pressure (CPAP) increases the alveolar pressure and thus decreases the transpulmonary pressure gradient, leading to a decrease in ventilation and perfusion matching, and subsequently reduced blood flow in the regions with high ventilation/perfusion ratios (zone 1)."
"A 34-year-old man presents to the behavioral health clinic for an evaluation after seeing animal-shaped clouds in the form of dogs, cats, and monkeys. The patient says that these symptoms have been present for more than 2 weeks. Past medical history is significant for simple partial seizures for which he takes valproate, but he has not had his medication adjusted in several years. His vital signs include: blood pressure of 124/76 mm Hg, heart rate of 98/min, respiratory rate of 12/min, and temperature of 37.1°C (98.8°F). On physical examination, the patient is alert and oriented to person, time, and place. Affect is not constricted or flat. Speech is of rapid rate and high volume. Pupils are equal and reactive bilaterally. The results of a urine drug screen are as follows:
Alcohol positive
Amphetamine negative
Benzodiazepine negative
Cocaine positive
GHB negative
Ketamine negative
LSD negative
Marijuana negative
Opioids negative
PCP negative
Which of the following is the most likely diagnosis in this patient?",B,A,False,17507.9,"A) Cocaine intoxication: The patient's positive urine test for cocaine is the most likely explanation for his recent onset of animal-shaped cloud hallucinations. Cocaine use can cause hallucinations, including those of a visual nature."
"A 72-year-old woman is brought to the emergency department by her daughter because of left-sided weakness for 1 hour. She does not have headache or blurring of vision. She has hypertension, hypercholesterolemia, type 2 diabetes, and coronary artery disease. She has smoked one half-pack of cigarettes daily for 45 years. Her medications include atorvastatin, amlodipine, metformin, and aspirin. Her temperature is 37°C (98.6°F), pulse is 92/min, and blood pressure is 168/90 mm Hg. Examination shows a left facial droop. Muscle strength is decreased on the left side. Deep tendon reflexes are 3+ on the left. Sensation to pinprick, light touch, and vibration as well as two-point discrimination are normal. Which of the following is the most likely cause of these findings?",B,A,False,21573.6,"A) Atherosclerosis of the internal carotid artery: This is the most likely cause of the patient's symptoms given her risk factors (hypertension, hypercholesterolemia, smoking, and coronary artery disease) and the presence of left-sided weakness and facial droop. Atherosclerosis is a common cause of ischemic stroke, and the internal carotid artery is a major supplier of blood to"
"A 35-year-old woman is brought to the emergency department by her husband after she lost consciousness 30 minutes ago. The patient’s husband says that she has been in a bad mood lately and getting upset over small things. He also says she has been crying a lot and staying up late at night. Her husband mentions that her mother died earlier this year, and she hasn’t been coping well with this loss. He says that he came home an hour ago and found her lying on the floor next to a bottle of pills. The patient’s husband knows that they were a bottle of her migraine pills but cannot remember the name of the medication. On examination, the patient’s blood pressure is 75/50 mm Hg, the pulse is 50/min, and the respiratory rate is 12/min. Which of the following is the best course of treatment for this patient?
 ",D,D,True,20704.8,"The patient's symptoms suggest an overdose of her migraine medication. The best course of treatment is to administer glucose and closely monitor vital signs. (D) However, in this case, the given symptoms do not indicate hypoglycemia, so the correct answer is not D. Based on the information provided, it is not clear what the patient's migraine medication is, so it is not possible to specify which medication to administer. Therefore, no definitive"
"A steel welder presents to his family physician with a one-week history of intense abdominal cramping with nausea, vomiting, constipation, headaches, myalgias, and arthralgias. He claims that the symptoms started about two months after he began work on replacing the pipes in an early 20th century house. Blood was taken and he was found to have a microcytic, hypochromic anemia with basophilic stippling. Which of the following is the best treatment for his symptoms?",B,A,False,12786.0,"A) Deferoxamine. The patient's symptoms suggest lead poisoning, and deferoxamine is a chelating agent used to remove heavy metals like lead from the body."
"A 32-year-old woman comes to the clinic for a routine evaluation. This is her first time visiting this office. Her medical history is significant for cystic medial necrosis of the aorta. Her vital signs include: heart rate 85/min, respiratory rate 15/min, temperature 36.0°C (96.8°F), and blood pressure 110/80 mm Hg. Physical examination shows she is thin and tall with abnormally long extremities and spider-like fingers. Which of the following disorders does the patient most likely have?",B,A,False,17725.5,"A) Marfan syndrome

Justification: The patient's medical history mentions cystic medial necrosis of the aorta, which is a characteristic feature of Marfan syndrome. The physical examination findings of long extremities and spider-like fingers are also consistent with this diagnosis."
"A 54-year-old woman presents with acute pain in her left toe. She says she hasn’t been able to wear closed shoes for 2 weeks. Past medical history is significant for gastroesophageal reflux disease, diagnosed 2 years ago. The patient is afebrile and vital signs are within normal limits. Her BMI is 31 kg/m2. On physical examination, the left toe is warm to touch, swollen, and erythematous. A joint fluid aspiration from the left toe is performed and shows needle-shaped negatively birefringent urate crystals. The patient is started on a xanthine oxidase inhibitor. On her follow-up visit 6 weeks later, she has an elevated homocysteine level, a decreased serum folic acid level, and a normal methylmalonic acid level. Which of the following drugs would most likely cause a similar side effect to that seen in this patient?",B,A,False,21687.7,"The patient's symptoms and laboratory findings are consistent with gout. The drug most likely to cause a similar side effect of decreased folic acid level in a patient on long-term treatment for gout is:

B) Allopurinol

Justification: Allopurinol is a xanthine oxidase inhibitor used in the long-term management of gout. It decreases the production of uric acid by inhibiting the enzyme"
